"","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","szch_1_targetChildProminence","modal_prominence","clean","recording","startSecond","endSecond"
"485",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8612.74,8614.49
"486",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8615.5,8616.44
"487",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8617.42,8619.51
"488",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8620.76,8624.86
"489",2,2,3,2,2,FALSE,"0054_000603_scrubbed.wav",8631.37,8632.11
"490",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",8633.24,8633.84
"491",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8634.91,8635.51
"492",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8640.56,8643.01
"493",1,2,2,1,1,TRUE,"0054_000603_scrubbed.wav",8643.81,8645.02
"494",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8646.23,8646.86
"495",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8650.11,8650.85
"496",1,2,2,1,1,TRUE,"0054_000603_scrubbed.wav",8651.93,8654.66
"497",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8669.86,8670.52
"498",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8672.36,8673.97
"499",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8682.44,8683.55
"500",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8684.42,8686.48
"501",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8687.45,8689.23
"502",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8759.91,8760.65
"503",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8785.58,8787.5
"504",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",8806.55,8807.36
"505",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8815.76,8816.99
"506",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8822.59,8825.53
"507",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8834,8835.07
"508",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",8836.03,8838.05
"509",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8839.03,8840.78
"510",1,1,2,1,1,TRUE,"0054_000603_scrubbed.wav",8845.1,8845.7
"511",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",8880.45,8881.35
"512",1,2,2,1,1,TRUE,"0054_000603_scrubbed.wav",8931.95,8934.11
"513",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8938.63,8941.06
"514",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8949.16,8949.77
"515",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",8949.77,8950.58
"516",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",8950.58,8951.34
"517",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8954.36,8955.5
"518",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",8957.89,8958.98
"519",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8960.57,8961.17
"520",2,2,3,2,2,FALSE,"0054_000603_scrubbed.wav",8962.3,8964.15
"521",1,2,2,1,1,TRUE,"0054_000603_scrubbed.wav",8964.15,8965.15
"522",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8965.15,8967.85
"523",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",8968.66,8970.4
"524",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8971.69,8973.94
"525",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8975.97,8978.88
"526",1,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",8980.26,8982.44
"527",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",8985.96,8988.83
"528",3,3,3,2,3,FALSE,"0054_000603_scrubbed.wav",9004.61,9005.21
"529",1,2,1,1,1,TRUE,"0054_000603_scrubbed.wav",9008.28,9009.29
"530",2,2,1,1,1,TRUE,"0054_000603_scrubbed.wav",9009.29,9010.33
"531",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9020.68,9025.11
"532",4,3,3,2,3,FALSE,"0054_000603_scrubbed.wav",9031.91,9032.68
"533",3,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9032.68,9033.74
"534",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9033.74,9034.35
"535",1,2,2,1,1,TRUE,"0054_000603_scrubbed.wav",9036.31,9038.28
"536",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9040.38,9040.98
"537",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9041.82,9043.54
"538",3,2,3,2,2,FALSE,"0054_000603_scrubbed.wav",9045.37,9046.29
"539",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",9051.6,9052.41
"540",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9053.24,9054.82
"541",1,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9055.75,9057.74
"542",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9060.06,9060.66
"543",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9069.17,9073.76
"544",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9076.82,9078.41
"545",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9079.43,9080.03
"546",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9080.83,9082.65
"547",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9083.45,9085.01
"548",2,2,2,1,2,FALSE,"0054_000603_scrubbed.wav",9085.81,9088.12
"549",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9089.96,9090.56
"550",2,2,2,2,2,FALSE,"0054_000603_scrubbed.wav",9092.35,9096.01
