"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lskw_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"127","0274_000221_scrubbed.wav",1265.74,1266.79,5,5,2,2,5,5,5,5,5,2,5,5,2,5,5,5,5,FALSE
"128","0274_000221_scrubbed.wav",1266.79,1267.83,5,5,2,2,5,5,5,5,5,2,5,5,5,5,5,5,5,FALSE
"129","0274_000221_scrubbed.wav",1267.83,1268.44,5,5,2,2,5,5,4,5,5,2,5,5,4,5,5,5,5,FALSE
"130","0274_000221_scrubbed.wav",1276.47,1277.48,5,5,2,2,5,5,5,5,5,2,5,5,2,5,5,5,5,FALSE
"131","0274_000221_scrubbed.wav",1278.97,1280.06,5,5,4,4,5,5,5,5,5,2,5,5,4,5,5,5,5,FALSE
"132","0274_000221_scrubbed.wav",1280.06,1280.79,5,5,2,2,5,5,5,5,5,2,5,5,5,5,5,5,5,FALSE
"133","0274_000221_scrubbed.wav",1280.79,1282.11,5,4,2,5,5,3,5,5,5,2,5,4,3,5,2,5,5,FALSE
"134","0274_000221_scrubbed.wav",1282.11,1282.83,5,5,2,2,5,5,5,5,5,2,5,5,5,5,5,5,5,FALSE
"135","0274_000221_scrubbed.wav",1324.37,1324.97,5,5,2,2,5,5,5,5,5,2,5,5,5,5,5,5,5,FALSE
"136","0274_000221_scrubbed.wav",1336.63,1337.23,5,5,2,2,5,5,5,2,5,2,2,5,2,5,5,5,5,FALSE
"137","0274_000221_scrubbed.wav",1522.7,1525.03,5,3,2,2,5,5,5,2,5,2,2,5,5,1,2,5,5,FALSE
"138","0274_000221_scrubbed.wav",1525.84,1526.86,5,2,2,2,5,4,4,5,5,2,5,5,2,1,2,5,5,FALSE
"139","0274_000221_scrubbed.wav",1535.96,1537.85,5,5,2,2,5,5,5,5,5,2,5,5,5,5,5,5,5,FALSE
"140","0274_000221_scrubbed.wav",1551.13,1551.73,5,4,2,2,4,2,3,5,2,3,2,5,2,5,5,5,2,FALSE
"141","0274_000221_scrubbed.wav",1554.45,1555.05,5,3,2,2,5,5,5,5,5,2,2,5,2,5,2,5,5,FALSE
"142","0274_000221_scrubbed.wav",1557.09,1557.69,5,2,1,3,5,5,5,2,5,2,2,5,2,5,2,5,5,FALSE
"143","0274_000221_scrubbed.wav",1560.53,1562.83,5,2,2,2,5,5,5,5,5,2,2,5,2,5,2,5,5,FALSE
"144","0274_000221_scrubbed.wav",1563.63,1564.9,5,4,2,5,5,4,4,2,5,2,4,5,3,5,4,4,4,FALSE
"145","0274_000221_scrubbed.wav",1568.54,1569.33,5,2,1,2,5,5,4,5,5,2,5,5,2,5,5,5,5,FALSE
"146","0274_000221_scrubbed.wav",1571.94,1572.54,5,2,1,2,5,5,5,2,5,2,5,5,1,5,5,5,5,FALSE
"147","0274_000221_scrubbed.wav",1575.46,1576.09,5,2,2,2,5,5,5,5,5,2,5,5,2,5,5,5,5,FALSE
"148","0274_000221_scrubbed.wav",1579.19,1579.79,5,2,1,2,5,5,5,2,5,2,5,5,1,5,5,5,5,FALSE
"149","0274_000221_scrubbed.wav",1579.79,1580.79,5,2,2,2,5,5,5,5,5,2,5,5,2,5,5,4,5,FALSE
"150","0274_000221_scrubbed.wav",1596.12,1596.78,5,3,2,3,4,4,4,2,5,2,5,5,2,5,5,4,5,FALSE
"151","0274_000221_scrubbed.wav",1612.45,1613.51,5,2,2,2,5,5,5,5,5,2,5,5,2,5,5,5,5,FALSE
"152","0274_000221_scrubbed.wav",1630.8,1631.42,5,2,2,1,5,5,5,5,5,4,5,5,1,5,5,5,5,FALSE
"153","0274_000221_scrubbed.wav",1632.24,1632.9,5,2,2,2,5,5,5,5,5,4,5,5,2,5,5,5,5,FALSE
"154","0274_000221_scrubbed.wav",1757.09,1758.15,5,2,2,2,5,5,5,5,5,4,5,5,1,5,5,5,5,FALSE
"155","0274_000221_scrubbed.wav",1759.6,1760.2,5,2,2,4,5,4,4,2,5,5,5,5,1,5,2,4,5,FALSE
"156","0274_000221_scrubbed.wav",1760.2,1761.08,5,2,2,2,5,5,5,5,5,4,5,5,1,1,5,2,5,FALSE
"157","0274_000221_scrubbed.wav",1761.08,1761.98,5,2,1,1,5,5,5,5,5,4,5,5,1,1,5,5,5,FALSE
"158","0274_000221_scrubbed.wav",1764.44,1765.87,5,2,1,1,5,5,5,5,5,4,5,5,1,5,5,5,5,FALSE
"159","0274_000221_scrubbed.wav",1815.35,1815.96,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"160","0274_000221_scrubbed.wav",1826.16,1826.77,5,2,5,1,2,5,1,2,2,2,2,1,1,1,2,2,2,FALSE
"161","0274_000221_scrubbed.wav",1831.73,1832.34,5,2,5,2,2,2,2,2,2,2,2,2,2,2,2,3,2,FALSE
"162","0274_000221_scrubbed.wav",1884.61,1885.66,5,2,2,5,2,2,2,2,5,2,3,1,1,1,2,3,2,FALSE
"163","0274_000221_scrubbed.wav",1887.42,1888.1,5,2,1,2,2,3,2,2,5,2,2,2,2,1,2,2,2,FALSE
"164","0274_000221_scrubbed.wav",1890.74,1891.93,5,2,3,4,5,4,5,5,5,2,5,4,4,5,4,4,5,FALSE
"165","0274_000221_scrubbed.wav",1892.73,1893.73,5,4,2,4,5,5,5,5,5,4,5,5,5,4,5,5,5,FALSE
"166","0274_000221_scrubbed.wav",1893.73,1896.02,5,3,3,4,5,5,4,5,5,4,5,5,5,5,5,5,5,FALSE
"167","0274_000221_scrubbed.wav",1896.02,1897.02,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"168","0274_000221_scrubbed.wav",1897.02,1899.91,5,4,3,4,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"169","0274_000221_scrubbed.wav",1899.91,1900.95,5,4,3,4,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"170","0274_000221_scrubbed.wav",1900.95,1901.55,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"171","0274_000221_scrubbed.wav",1903.48,1905.55,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"172","0274_000221_scrubbed.wav",1905.55,1906.25,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
"173","0274_000221_scrubbed.wav",1906.25,1910.08,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,FALSE
