"","jvfs_1_targetChildProminence","lant_2_targetChildProminence","szch_2_targetChildProminence","modal_prominence","clean"
"382",2,2,1,2,FALSE
"383",2,2,1,2,FALSE
"384",2,2,2,2,FALSE
"385",2,2,2,2,FALSE
"386",3,2,2,2,FALSE
"387",2,2,1,2,FALSE
"388",1,2,1,1,TRUE
"389",1,2,1,1,TRUE
"390",3,3,2,3,FALSE
"391",2,2,2,2,FALSE
"392",2,2,2,2,FALSE
"393",2,2,2,2,FALSE
"394",2,2,2,2,FALSE
"395",5,5,5,5,FALSE
"396",2,2,1,2,FALSE
"397",2,2,2,2,FALSE
"398",3,3,2,3,FALSE
"399",2,2,2,2,FALSE
"400",4,4,3,4,FALSE
"401",3,3,2,3,FALSE
"402",3,2,2,2,FALSE
"403",2,2,2,2,FALSE
"404",3,2,2,2,FALSE
"405",2,2,1,2,FALSE
"406",3,3,2,3,FALSE
"407",2,2,2,2,FALSE
"408",2,2,2,2,FALSE
"409",2,2,2,2,FALSE
"410",5,5,5,5,FALSE
"411",2,2,2,2,FALSE
"412",2,3,2,2,FALSE
"413",2,2,2,2,FALSE
"414",2,2,2,2,FALSE
"415",2,2,2,2,FALSE
"416",3,2,2,2,FALSE
"417",3,3,2,3,FALSE
"418",2,3,2,2,FALSE
"419",2,2,2,2,FALSE
"420",2,2,2,2,FALSE
"421",5,5,5,5,FALSE
"422",2,3,2,2,FALSE
"423",5,5,5,5,FALSE
"424",2,3,2,2,FALSE
"425",3,2,2,2,FALSE
"426",3,3,2,3,FALSE
"427",2,2,2,2,FALSE
"428",3,3,2,3,FALSE
"429",2,2,2,2,FALSE
"430",2,3,2,2,FALSE
"431",3,3,2,3,FALSE
"432",2,3,2,2,FALSE
"433",2,3,2,2,FALSE
"434",3,3,2,3,FALSE
"435",4,4,3,4,FALSE
"436",2,2,2,2,FALSE
"437",2,3,2,2,FALSE
"438",3,3,2,3,FALSE
"439",5,5,5,5,FALSE
"440",2,2,2,2,FALSE
"441",2,2,2,2,FALSE
"442",5,5,5,5,FALSE
"443",2,2,2,2,FALSE
"444",2,2,2,2,FALSE
"445",3,3,2,3,FALSE
"446",2,2,1,2,FALSE
"447",2,2,2,2,FALSE
"448",3,2,2,2,FALSE
"449",5,5,5,5,FALSE
"450",2,3,2,2,FALSE
"451",2,2,1,2,FALSE
"452",2,2,2,2,FALSE
"453",2,2,2,2,FALSE
"454",3,2,2,2,FALSE
"455",5,5,5,5,FALSE
"456",2,3,2,2,FALSE
"457",2,3,2,2,FALSE
"458",2,2,1,2,FALSE
"459",5,5,5,5,FALSE
"460",5,5,5,5,FALSE
"461",2,2,2,2,FALSE
"462",5,5,5,5,FALSE
"463",5,5,5,5,FALSE
"464",5,5,5,5,FALSE
"465",2,2,2,2,FALSE
"466",2,2,2,2,FALSE
"467",3,3,2,3,FALSE
"468",2,2,2,2,FALSE
"469",2,2,2,2,FALSE
"470",2,2,2,2,FALSE
"471",2,2,1,2,FALSE
"472",2,3,2,2,FALSE
"473",5,5,5,5,FALSE
"474",2,2,1,2,FALSE
"475",2,3,2,2,FALSE
"476",2,2,2,2,FALSE
"477",2,2,2,2,FALSE
"478",3,3,2,3,FALSE
"479",2,2,1,2,FALSE
"480",2,2,1,2,FALSE
"481",1,2,1,1,TRUE
"482",1,2,2,2,FALSE
"483",2,2,1,2,FALSE
"484",1,2,1,1,TRUE
"485",1,2,1,1,TRUE
"486",2,2,2,2,FALSE
"487",1,2,1,1,TRUE
"488",2,3,2,2,FALSE
"489",2,2,2,2,FALSE
"490",2,2,2,2,FALSE
"491",5,5,5,5,FALSE
"492",5,5,5,5,FALSE
"493",2,2,1,2,FALSE
"494",2,2,1,2,FALSE
"495",2,2,1,2,FALSE
"496",5,4,2,2,FALSE
"497",3,3,2,3,FALSE
"498",5,5,4,5,FALSE
"499",5,4,3,3,FALSE
"500",5,5,5,5,FALSE
"501",3,3,2,3,FALSE
"502",3,3,2,3,FALSE
"503",5,5,5,5,FALSE
"504",3,3,2,3,FALSE
"505",2,2,1,2,FALSE
"506",5,5,5,5,FALSE
"507",5,5,5,5,FALSE
"508",5,5,5,5,FALSE
"509",5,5,5,5,FALSE
"510",5,5,5,5,FALSE
"511",4,3,2,2,FALSE
"512",4,3,2,2,FALSE
"513",5,5,5,5,FALSE
"514",5,5,5,5,FALSE
"515",5,5,5,5,FALSE
"516",2,2,2,2,FALSE
"517",5,5,5,5,FALSE
"518",2,2,2,2,FALSE
"519",2,2,2,2,FALSE
"520",2,2,2,2,FALSE
"521",2,2,1,2,FALSE
"522",2,2,1,2,FALSE
"523",2,2,1,2,FALSE
"524",1,2,1,1,TRUE
"525",1,2,1,1,TRUE
"526",2,2,2,2,FALSE
"527",5,5,5,5,FALSE
"528",2,2,2,2,FALSE
"529",1,2,1,1,TRUE
"530",2,3,2,2,FALSE
"531",2,2,1,2,FALSE
"532",4,4,3,4,FALSE
"533",2,2,2,2,FALSE
"534",5,5,5,5,FALSE
"535",2,3,2,2,FALSE
"536",2,2,2,2,FALSE
"537",2,2,1,2,FALSE
"538",2,3,2,2,FALSE
"539",2,2,1,2,FALSE
"540",2,2,1,2,FALSE
"541",2,2,1,2,FALSE
"542",5,4,4,4,FALSE
"543",2,2,2,2,FALSE
"544",2,3,2,2,FALSE
"545",2,3,1,1,TRUE
"546",3,4,4,4,FALSE
"547",2,2,1,2,FALSE
"548",4,3,3,3,FALSE
"549",2,2,1,2,FALSE
"550",2,2,1,2,FALSE
"551",2,2,2,2,FALSE
"552",2,2,2,2,FALSE
"553",2,2,2,2,FALSE
"554",3,3,2,3,FALSE
"555",3,3,2,3,FALSE
"556",2,3,2,2,FALSE
"557",1,2,1,1,TRUE
"558",1,2,1,1,TRUE
"559",2,2,2,2,FALSE
"560",2,2,1,2,FALSE
"561",3,3,2,3,FALSE
"562",2,3,2,2,FALSE
"563",5,5,5,5,FALSE
"564",5,5,5,5,FALSE
"565",5,5,5,5,FALSE
"566",5,5,5,5,FALSE
"567",5,5,5,5,FALSE
"568",5,4,2,2,FALSE
"569",5,5,5,5,FALSE
"570",5,5,5,5,FALSE
"571",5,5,5,5,FALSE
"572",5,5,5,5,FALSE
"573",5,5,5,5,FALSE
"574",5,5,5,5,FALSE
"575",5,5,5,5,FALSE
"576",5,5,5,5,FALSE
"577",5,5,5,5,FALSE
"578",5,5,5,5,FALSE
"579",5,5,5,5,FALSE
"580",5,5,5,5,FALSE
"581",5,5,5,5,FALSE
"582",5,5,5,5,FALSE
"583",4,5,4,4,FALSE
"584",5,5,5,5,FALSE
"585",5,5,5,5,FALSE
"586",5,5,5,5,FALSE
"587",5,5,5,5,FALSE
"588",5,5,5,5,FALSE
"589",4,4,3,4,FALSE
"590",5,4,5,5,FALSE
"591",4,4,2,4,FALSE
"592",2,3,2,2,FALSE
"593",2,2,2,2,FALSE
"594",2,2,1,2,FALSE
"595",2,3,2,2,FALSE
"596",2,3,2,2,FALSE
"597",2,2,1,2,FALSE
"598",3,3,1,3,FALSE
"599",2,2,2,2,FALSE
"600",2,2,1,2,FALSE
"601",2,2,2,2,FALSE
"602",2,2,2,2,FALSE
"603",5,5,5,5,FALSE
"604",5,5,5,5,FALSE
"605",3,3,2,3,FALSE
"606",4,3,2,2,FALSE
"607",3,3,2,3,FALSE
"608",3,2,2,2,FALSE
"609",3,4,2,2,FALSE
"610",4,3,2,2,FALSE
"611",4,5,2,2,FALSE
"612",2,2,1,2,FALSE
"613",2,2,1,2,FALSE
"614",2,2,2,2,FALSE
"615",5,5,5,5,FALSE
"616",3,2,2,2,FALSE
"617",2,2,1,2,FALSE
"618",2,2,1,2,FALSE
"619",4,3,2,2,FALSE
"620",2,2,1,2,FALSE
"621",1,1,1,1,TRUE
"622",2,2,1,2,FALSE
"623",2,2,1,2,FALSE
"624",3,3,1,3,FALSE
"625",2,2,1,2,FALSE
"626",2,3,2,2,FALSE
"627",1,2,1,1,TRUE
"628",1,1,1,1,TRUE
"629",1,2,1,1,TRUE
"630",2,3,2,2,FALSE
"631",1,1,1,1,TRUE
"632",2,1,1,1,TRUE
"633",1,1,1,1,TRUE
"634",2,2,2,2,FALSE
"635",1,2,1,1,TRUE
"636",1,2,1,1,TRUE
"637",3,3,2,3,FALSE
"638",2,2,2,2,FALSE
"639",2,3,2,2,FALSE
"640",5,4,5,5,FALSE
"641",2,2,1,2,FALSE
"642",3,3,2,3,FALSE
"643",2,2,2,2,FALSE
"644",3,3,2,3,FALSE
"645",2,2,1,2,FALSE
"646",2,2,1,2,FALSE
"647",1,1,1,1,TRUE
"648",1,2,1,1,TRUE
"649",5,5,5,5,FALSE
