"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lplf_1_targetChildProminence","lskw_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"93","0340_000301_scrubbed.wav",1490.09,1490.83,1,3,2,2,2,1,2,1,2,1,2,1,2,1,1,1,1,TRUE
"94","0340_000301_scrubbed.wav",1735.7,1736.31,5,2,1,2,5,5,5,5,2,2,2,5,1,1,5,5,5,FALSE
"95","0340_000301_scrubbed.wav",1743.21,1743.82,1,2,2,2,1,1,2,1,2,1,2,1,1,1,2,2,2,FALSE
"96","0340_000301_scrubbed.wav",1748.47,1749.78,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,FALSE
"97","0340_000301_scrubbed.wav",1772.57,1773.28,1,2,1,3,1,1,2,3,2,1,3,1,1,1,3,2,1,TRUE
"98","0340_000301_scrubbed.wav",1801.94,1802.73,1,2,1,3,1,1,2,1,2,2,2,1,1,1,1,1,1,TRUE
"99","0340_000301_scrubbed.wav",1822.47,1823.11,1,3,1,5,2,2,3,3,2,2,4,2,2,1,2,1,2,FALSE
"100","0340_000301_scrubbed.wav",1868.66,1869.76,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,FALSE
"101","0340_000301_scrubbed.wav",1884.34,1884.94,2,2,2,4,4,2,4,4,2,2,3,2,2,1,3,2,2,FALSE
"102","0340_000301_scrubbed.wav",1888.98,1889.58,1,2,2,3,3,2,2,3,2,3,2,2,2,1,3,2,2,FALSE
"103","0340_000301_scrubbed.wav",1891.28,1893.04,2,2,2,3,2,2,2,3,2,2,2,2,2,1,2,2,2,FALSE
