"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lplf_1_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","modal_prominence","clean"
"127","0204_000609_scrubbed.wav",1810.62,1811.86,2,2,2,1,2,1,1,2,2,1,2,2,2,1,1,1,1,1,TRUE
"128","0204_000609_scrubbed.wav",1816.67,1820.52,1,2,2,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,TRUE
"129","0204_000609_scrubbed.wav",1834.18,1836.2,1,2,2,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,TRUE
"130","0204_000609_scrubbed.wav",1841.38,1841.98,1,2,2,1,2,1,2,1,2,1,2,2,2,1,1,1,1,1,TRUE
"131","0204_000609_scrubbed.wav",1841.98,1842.79,1,2,2,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,TRUE
"132","0204_000609_scrubbed.wav",1842.79,1844.59,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,TRUE
"133","0204_000609_scrubbed.wav",1846.59,1847.93,1,2,2,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,TRUE
"134","0204_000609_scrubbed.wav",1853.46,1854.08,1,2,2,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,TRUE
"135","0204_000609_scrubbed.wav",1861.83,1862.43,5,2,2,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,FALSE
"136","0204_000609_scrubbed.wav",1863.31,1863.95,2,3,3,4,4,3,4,1,3,2,4,3,2,1,5,1,2,1,TRUE
"137","0204_000609_scrubbed.wav",1864.76,1865.37,1,3,2,4,2,2,3,1,2,1,3,3,2,1,1,1,1,1,TRUE
"138","0204_000609_scrubbed.wav",1896.63,1897.52,1,3,2,3,2,2,2,2,2,1,3,3,2,2,2,2,2,2,FALSE
"139","0204_000609_scrubbed.wav",1909.29,1910.21,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,FALSE
"140","0204_000609_scrubbed.wav",2000.54,2001.14,1,3,3,3,2,3,2,2,2,2,5,4,2,2,2,1,2,2,FALSE
"141","0204_000609_scrubbed.wav",2004.65,2005.32,1,2,2,2,2,2,2,2,2,1,3,3,2,2,2,1,5,2,FALSE
"142","0204_000609_scrubbed.wav",2015.48,2016.14,1,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,FALSE
"143","0204_000609_scrubbed.wav",2071.22,2071.92,1,3,2,3,2,1,2,1,2,1,4,2,2,1,1,1,1,1,TRUE
"144","0204_000609_scrubbed.wav",2096.23,2097.14,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,FALSE
"145","0204_000609_scrubbed.wav",2157.75,2158.69,1,2,2,3,1,1,2,2,2,1,3,2,2,1,1,1,1,1,TRUE
"146","0204_000609_scrubbed.wav",2172.18,2172.79,1,2,2,2,1,1,2,2,3,1,2,2,2,1,1,1,1,1,TRUE
"147","0204_000609_scrubbed.wav",2176.8,2177.43,1,2,2,2,1,1,1,1,2,1,2,2,2,1,1,1,1,1,TRUE
"148","0204_000609_scrubbed.wav",2206.3,2206.91,1,2,2,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,TRUE
"149","0204_000609_scrubbed.wav",2219.26,2220.53,1,2,2,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,TRUE
"150","0204_000609_scrubbed.wav",2274.98,2275.76,1,2,2,1,1,1,2,1,2,1,1,2,2,1,2,2,2,1,TRUE
"151","0204_000609_scrubbed.wav",2305.16,2308.21,1,2,2,2,1,1,2,2,2,1,1,2,2,1,1,1,1,1,TRUE
"152","0204_000609_scrubbed.wav",2309.15,2309.76,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,FALSE
"153","0204_000609_scrubbed.wav",2331.22,2332.54,4,2,2,4,3,3,4,4,4,4,5,2,2,3,3,4,3,4,FALSE
"154","0204_000609_scrubbed.wav",2333.34,2335.19,1,2,2,3,1,1,1,1,1,1,2,2,1,1,1,1,1,1,TRUE
"155","0204_000609_scrubbed.wav",2338.93,2339.81,1,2,2,3,1,1,2,2,1,1,1,2,2,1,2,1,1,1,TRUE
"156","0204_000609_scrubbed.wav",2339.81,2340.49,1,2,2,4,2,1,2,2,1,2,2,2,2,1,2,1,1,2,FALSE
"157","0204_000609_scrubbed.wav",2340.49,2342.01,1,2,1,3,2,1,2,1,2,1,2,2,2,1,1,1,1,1,TRUE
"158","0204_000609_scrubbed.wav",2346.36,2347.72,1,2,2,3,1,1,1,1,2,1,1,2,2,1,2,1,1,1,TRUE
"159","0204_000609_scrubbed.wav",2379.64,2382.07,1,2,1,2,1,1,1,1,2,1,1,2,2,1,1,1,1,1,TRUE
"160","0204_000609_scrubbed.wav",2383.14,2384.27,1,2,1,2,1,1,2,1,2,1,1,2,2,1,1,1,1,1,TRUE
"161","0204_000609_scrubbed.wav",2402.24,2402.88,1,2,1,4,2,1,2,1,2,1,2,5,2,1,1,1,1,1,TRUE
"162","0204_000609_scrubbed.wav",2406.32,2406.96,1,2,2,4,2,1,2,2,2,1,2,2,2,2,2,1,1,2,FALSE
"163","0204_000609_scrubbed.wav",2406.96,2407.96,2,2,1,3,2,2,2,2,2,1,2,2,2,2,2,1,2,2,FALSE
