"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lplf_1_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_1_targetChildProminence","ukqu_1_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"67","0054_000603_scrubbed.wav",1624.54,1625.67,1,2,1,3,2,1,2,2,2,1,2,2,2,1,1,2,1,1,2,1,TRUE
"68","0054_000603_scrubbed.wav",1633.24,1635.3,1,2,1,1,1,1,2,1,5,1,1,2,2,1,1,2,1,1,1,1,TRUE
"69","0054_000603_scrubbed.wav",1639.41,1640.53,1,2,2,3,3,1,2,2,2,1,2,2,2,2,1,2,1,1,2,2,FALSE
"70","0054_000603_scrubbed.wav",1645.28,1645.88,5,4,2,5,4,1,4,3,5,1,5,4,2,4,5,5,1,5,2,5,FALSE
"71","0054_000603_scrubbed.wav",1652.92,1653.52,1,2,2,2,1,1,2,2,2,1,2,2,2,1,1,1,1,1,2,1,TRUE
"72","0054_000603_scrubbed.wav",1655.96,1656.68,1,2,1,3,2,1,2,2,2,1,2,2,2,2,1,2,1,2,2,2,FALSE
"73","0054_000603_scrubbed.wav",1657.6,1658.2,1,2,1,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,2,1,TRUE
"74","0054_000603_scrubbed.wav",1670.07,1670.68,1,2,1,2,1,1,2,2,2,1,3,3,2,1,1,1,1,1,2,1,TRUE
"75","0054_000603_scrubbed.wav",1700.76,1701.37,1,2,2,3,2,1,2,2,2,1,2,4,2,2,1,2,1,1,2,2,FALSE
"76","0054_000603_scrubbed.wav",1704.53,1705.17,2,2,2,4,3,2,3,3,3,3,3,4,2,3,3,3,4,2,3,3,FALSE
"77","0054_000603_scrubbed.wav",1720.34,1721.35,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,1,1,2,2,FALSE
"78","0054_000603_scrubbed.wav",1722.42,1724.87,1,2,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,2,1,TRUE
"79","0054_000603_scrubbed.wav",1766.13,1766.8,1,2,1,2,2,1,2,2,2,1,3,2,2,1,1,2,1,1,2,1,TRUE
"80","0054_000603_scrubbed.wav",1776.16,1776.76,1,2,1,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,TRUE
"81","0054_000603_scrubbed.wav",1777.75,1778.6,1,2,1,1,1,1,2,2,2,1,1,2,2,1,1,2,1,1,1,1,TRUE
"82","0054_000603_scrubbed.wav",1784.3,1784.92,1,2,2,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,TRUE
"83","0054_000603_scrubbed.wav",1797.87,1799.42,1,2,2,2,1,2,2,2,2,1,2,2,2,1,1,2,1,1,2,2,FALSE
"84","0054_000603_scrubbed.wav",1808.05,1810.53,1,2,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,TRUE
"85","0054_000603_scrubbed.wav",1814.93,1815.53,1,2,1,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,TRUE
"86","0054_000603_scrubbed.wav",1826.51,1828.6,1,2,2,1,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,TRUE
"87","0054_000603_scrubbed.wav",1831.98,1832.58,1,2,2,4,1,2,2,2,2,1,3,2,2,2,2,1,1,1,1,2,FALSE
"88","0054_000603_scrubbed.wav",1835.23,1836.04,5,5,3,5,5,2,5,3,5,1,5,4,3,5,5,5,1,5,5,5,FALSE
"89","0054_000603_scrubbed.wav",1845.38,1846.53,3,4,3,5,2,1,2,2,3,1,2,4,2,2,1,2,1,1,3,1,TRUE
"90","0054_000603_scrubbed.wav",1860.98,1861.78,2,2,2,2,2,2,3,2,2,1,3,2,2,2,2,2,1,2,2,2,FALSE
"91","0054_000603_scrubbed.wav",1862.58,1863.95,1,2,2,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,2,1,TRUE
"92","0054_000603_scrubbed.wav",1867.56,1868.47,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,FALSE
"93","0054_000603_scrubbed.wav",1872.87,1873.47,3,2,2,2,3,2,3,3,2,1,3,2,2,2,3,2,4,2,3,2,FALSE
"94","0054_000603_scrubbed.wav",1881.8,1883.83,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,1,2,3,2,FALSE
"95","0054_000603_scrubbed.wav",1912.97,1913.67,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,FALSE
"96","0054_000603_scrubbed.wav",1915.72,1916.53,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,FALSE
"97","0054_000603_scrubbed.wav",1918.01,1920.68,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,FALSE
"98","0054_000603_scrubbed.wav",1927.77,1928.79,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,FALSE
"99","0054_000603_scrubbed.wav",1937.59,1940.83,2,2,2,3,2,2,3,2,2,1,3,2,2,2,3,2,1,2,2,2,FALSE
