"","wav_filename","segments_filename","relabels_filename","listenerID","listen_pass","babyID","babyAge"
"107","0340_000301_scrubbed.wav","0340_000301_segments.csv","0340_000301_scrubbed_CHNrelabel_pdav_1.csv","pdav",1,"0340",91
"108","0833_010606.wav","0833_010606_segments.csv","0833_010606_CHNrelabel_pdav_1.csv","pdav",1,"0833",551
"109","0437_010603_scrubbed.wav","0437_010603_segments.csv","0437_010603_scrubbed_CHNrelabel_pdav_1.csv","pdav",1,"0437",548
"110","0344_000913.wav","0344_000913_segments.csv","0344_000913_CHNrelabel_pdav_1.csv","pdav",1,"0344",283
"111","0300_000607_scrubbed.wav","0300_000607_segments.csv","0300_000607_scrubbed_CHNrelabel_pdav_1.csv","pdav",1,"0300",187
"112","0857_000301_scrubbed.wav","0857_000301_segments.csv","0857_000301_scrubbed_CHNrelabel_pwwr_1.csv","pwwr",1,"0857",91
"113","0437_010603_scrubbed.wav","0437_010603_segments.csv","0437_010603_scrubbed_CHNrelabel_pwwr_1.csv","pwwr",1,"0437",548
"114","0340_000301_scrubbed.wav","0340_000301_segments.csv","0340_000301_scrubbed_CHNrelabel_pwwr_1.csv","pwwr",1,"0340",91
"115","0204_000609_scrubbed.wav","0204_000609_segments.csv","0204_000609_scrubbed_CHNrelabel_pwwr_1.csv","pwwr",1,"0204",189
"116","0344_000913.wav","0344_000913_segments.csv","0344_000913_CHNrelabel_pwwr_1.csv","pwwr",1,"0344",283
"117","0054_000603_scrubbed.wav","0054_000603_segments.csv","0054_000603_scrubbed_CHNrelabel_pwwr_1.csv","pwwr",1,"0054",183
"118","0833_010606.wav","0833_010606_segments.csv","0833_010606_CHNrelabel_pwwr_1.csv","pwwr",1,"0833",551
"119","0274_000221_scrubbed.wav","0274_000221_segments.csv","0274_000221_scrubbed_CHNrelabel_pwwr_1.csv","pwwr",1,"0274",81
"120","0857_000301_scrubbed.wav","0857_000301_segments.csv","0857_000301_scrubbed_CHNrelabel_qoth_1.csv","qoth",1,"0857",91
"121","0204_000609_scrubbed.wav","0204_000609_segments.csv","0204_000609_scrubbed_CHNrelabel_qoth_1.csv","qoth",1,"0204",189
"122","0833_010606.wav","0833_010606_segments.csv","0833_010606_CHNrelabel_qoth_1.csv","qoth",1,"0833",551
"123","0274_000221_scrubbed.wav","0274_000221_segments.csv","0274_000221_scrubbed_CHNrelabel_qoth_1.csv","qoth",1,"0274",81
"124","0196_000902_scrubbed.wav","0196_000902_segments.csv","0196_000902_scrubbed_CHNrelabel_qoth_1.csv","qoth",1,"0196",272
"125","0344_000913.wav","0344_000913_segments.csv","0344_000913_CHNrelabel_qoth_1.csv","qoth",1,"0344",283
"126","0437_010603_scrubbed.wav","0437_010603_segments.csv","0437_010603_scrubbed_CHNrelabel_qoth_1.csv","qoth",1,"0437",548
"127","0054_000603_scrubbed.wav","0054_000603_segments.csv","0054_000603_scrubbed_CHNrelabel_qoth_1.csv","qoth",1,"0054",183
"128","0300_000607_scrubbed.wav","0300_000607_segments.csv","0300_000607_scrubbed_CHNrelabel_qoth_1.csv","qoth",1,"0300",187
"129","0340_000301_scrubbed.wav","0340_000301_segments.csv","0340_000301_scrubbed_CHNrelabel_qoth_1.csv","qoth",1,"0340",91
"130","0344_000913.wav","0344_000913_segments.csv","0344_000913_CHNrelabel_qoth_2.csv","qoth",2,"0344",283
"131","0274_000221_scrubbed.wav","0274_000221_segments.csv","0274_000221_scrubbed_CHNrelabel_qoth_2.csv","qoth",2,"0274",81
"132","0833_010606.wav","0833_010606_segments.csv","0833_010606_CHNrelabel_qoth_2.csv","qoth",2,"0833",551
"133","0340_000301_scrubbed.wav","0340_000301_segments.csv","0340_000301_scrubbed_CHNrelabel_qoth_2.csv","qoth",2,"0340",91
"134","0204_000609_scrubbed.wav","0204_000609_segments.csv","0204_000609_scrubbed_CHNrelabel_qoth_2.csv","qoth",2,"0204",189
"135","0196_000902_scrubbed.wav","0196_000902_segments.csv","0196_000902_scrubbed_CHNrelabel_qoth_2.csv","qoth",2,"0196",272
"136","0300_000607_scrubbed.wav","0300_000607_segments.csv","0300_000607_scrubbed_CHNrelabel_qoth_2.csv","qoth",2,"0300",187
