"","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","szch_2_targetChildProminence","modal_prominence","clean"
"378",2,1,2,1,1,TRUE
"379",2,1,2,1,1,TRUE
"380",1,1,2,1,1,TRUE
"381",1,1,2,1,1,TRUE
"382",1,1,2,1,1,TRUE
"383",1,1,2,1,1,TRUE
"384",2,1,2,1,1,TRUE
"385",1,1,2,1,1,TRUE
"386",2,1,2,1,1,TRUE
"387",2,2,2,2,2,FALSE
"388",1,1,1,1,1,TRUE
"389",1,1,2,1,1,TRUE
"390",1,1,1,1,1,TRUE
"391",2,1,2,1,1,TRUE
"392",1,1,2,1,1,TRUE
"393",2,1,2,2,2,FALSE
"394",2,1,2,1,1,TRUE
"395",1,1,1,1,1,TRUE
"396",4,2,3,1,1,TRUE
"397",1,1,2,1,1,TRUE
"398",1,1,2,1,1,TRUE
"399",2,2,2,2,2,FALSE
"400",1,1,2,1,1,TRUE
"401",2,2,2,2,2,FALSE
"402",2,2,2,2,2,FALSE
"403",2,1,2,1,1,TRUE
"404",1,1,1,1,1,TRUE
"405",1,1,1,1,1,TRUE
"406",2,1,2,1,1,TRUE
"407",1,1,1,1,1,TRUE
"408",1,1,2,1,1,TRUE
"409",1,1,2,1,1,TRUE
"410",1,1,2,1,1,TRUE
"411",2,1,2,1,1,TRUE
"412",2,2,2,1,2,FALSE
"413",2,2,3,2,2,FALSE
"414",5,1,4,1,1,TRUE
"415",3,2,2,2,2,FALSE
"416",2,1,1,1,1,TRUE
"417",1,1,2,1,1,TRUE
"418",2,1,2,1,1,TRUE
"419",1,1,2,1,1,TRUE
"420",2,2,2,2,2,FALSE
"421",1,1,2,1,1,TRUE
"422",1,1,2,1,1,TRUE
"423",1,1,2,1,1,TRUE
"424",1,1,2,1,1,TRUE
"425",1,1,2,1,1,TRUE
"426",1,1,1,1,1,TRUE
"427",2,1,1,1,1,TRUE
"428",1,1,1,1,1,TRUE
"429",1,1,2,1,1,TRUE
"430",1,1,2,1,1,TRUE
"431",2,2,3,2,2,FALSE
"432",1,1,2,1,1,TRUE
"433",2,1,1,1,1,TRUE
"434",1,1,1,1,1,TRUE
"435",2,3,1,1,1,TRUE
"436",1,1,2,1,1,TRUE
"437",1,1,1,1,1,TRUE
"438",1,1,1,1,1,TRUE
"439",2,1,2,1,1,TRUE
"440",1,1,1,1,1,TRUE
"441",1,1,1,1,1,TRUE
"442",1,1,1,1,1,TRUE
"443",1,1,1,1,1,TRUE
"444",1,1,1,1,1,TRUE
"445",1,1,1,1,1,TRUE
"446",2,1,3,1,1,TRUE
"447",2,1,2,1,1,TRUE
"448",3,1,2,1,1,TRUE
"449",3,2,2,2,2,FALSE
"450",3,1,2,2,2,FALSE
"451",5,5,5,5,5,FALSE
"452",3,3,3,2,3,FALSE
"453",3,2,2,2,2,FALSE
"454",2,2,3,2,2,FALSE
"455",3,2,2,2,2,FALSE
"456",3,3,3,2,3,FALSE
"457",2,1,2,1,1,TRUE
"458",2,2,2,2,2,FALSE
"459",3,2,2,2,2,FALSE
"460",3,2,2,2,2,FALSE
"461",3,2,2,2,2,FALSE
"462",2,2,2,2,2,FALSE
"463",3,2,2,2,2,FALSE
"464",3,2,4,5,2,FALSE
"465",2,2,3,2,2,FALSE
"466",2,2,2,2,2,FALSE
"467",2,2,2,2,2,FALSE
"468",1,1,2,5,1,TRUE
"469",2,3,2,1,2,FALSE
"470",3,3,3,2,3,FALSE
"471",3,3,3,3,3,FALSE
"472",2,3,2,2,2,FALSE
"473",2,3,2,2,2,FALSE
"474",2,2,2,2,2,FALSE
"475",2,2,2,2,2,FALSE
"476",2,1,2,2,2,FALSE
"477",3,3,2,2,2,FALSE
"478",2,2,2,2,2,FALSE
"479",3,2,2,2,2,FALSE
"480",2,1,2,2,2,FALSE
"481",2,1,2,1,1,TRUE
"482",2,2,2,2,2,FALSE
"483",2,1,2,2,2,FALSE
"484",2,1,2,2,2,FALSE
"485",1,1,2,1,1,TRUE
"486",5,5,5,5,5,FALSE
"487",2,3,2,5,2,FALSE
"488",5,5,5,5,5,FALSE
"489",5,5,5,5,5,FALSE
"490",5,5,5,5,5,FALSE
"491",5,5,5,5,5,FALSE
"492",5,5,5,5,5,FALSE
"493",5,5,5,5,5,FALSE
"494",5,5,2,1,5,FALSE
"495",5,5,5,5,5,FALSE
"496",2,3,3,2,2,FALSE
"497",2,1,2,2,2,FALSE
"498",2,1,2,1,1,TRUE
"499",3,2,3,3,3,FALSE
"500",2,2,3,2,2,FALSE
"501",2,2,5,2,2,FALSE
"502",5,5,5,5,5,FALSE
"503",5,5,5,5,5,FALSE
"504",2,2,2,2,2,FALSE
"505",2,2,2,2,2,FALSE
"506",2,1,2,1,1,TRUE
"507",2,1,2,2,2,FALSE
"508",1,1,2,1,1,TRUE
"509",2,1,2,1,1,TRUE
"510",2,1,2,2,2,FALSE
"511",3,2,2,2,2,FALSE
"512",2,2,2,2,2,FALSE
"513",2,1,2,1,1,TRUE
"514",2,1,2,1,1,TRUE
"515",2,1,2,1,1,TRUE
"516",2,1,2,1,1,TRUE
"517",2,1,2,2,2,FALSE
"518",2,1,2,1,1,TRUE
"519",2,1,2,2,2,FALSE
"520",2,1,2,1,1,TRUE
"521",2,1,2,1,1,TRUE
"522",3,3,3,2,3,FALSE
"523",2,2,2,2,2,FALSE
"524",5,5,5,5,5,FALSE
"525",5,5,5,5,5,FALSE
"526",5,5,5,5,5,FALSE
"527",2,1,2,1,1,TRUE
"528",5,5,5,5,5,FALSE
"529",3,3,3,2,3,FALSE
"530",3,1,2,2,2,FALSE
"531",4,2,3,2,2,FALSE
"532",4,2,3,2,2,FALSE
"533",4,2,3,2,2,FALSE
