"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"1328","0196_000902_scrubbed.wav",34645.77,34646.43,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,FALSE
"1329","0196_000902_scrubbed.wav",34653.04,34653.64,1,3,2,3,2,3,2,2,4,4,2,2,2,1,2,3,2,FALSE
"1330","0196_000902_scrubbed.wav",34663.61,34664.22,5,5,5,5,5,5,5,5,5,4,2,5,5,5,5,5,4,FALSE
"1331","0196_000902_scrubbed.wav",34678.08,34679.05,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,FALSE
"1332","0196_000902_scrubbed.wav",34694.45,34695.07,5,3,5,5,5,2,2,5,5,5,3,2,5,5,2,5,4,FALSE
"1333","0196_000902_scrubbed.wav",34761.24,34761.84,2,2,3,3,3,3,3,2,4,4,2,2,3,5,2,4,2,FALSE
"1334","0196_000902_scrubbed.wav",34858.93,34859.53,2,2,2,2,2,3,2,2,3,4,2,2,2,1,2,4,2,FALSE
"1335","0196_000902_scrubbed.wav",34861.28,34861.88,5,3,5,5,5,5,5,5,5,4,5,5,4,5,5,5,4,FALSE
"1336","0196_000902_scrubbed.wav",34879.3,34880.02,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,FALSE
"1337","0196_000902_scrubbed.wav",35024.52,35025.45,2,2,3,2,2,3,2,2,3,4,2,2,2,1,2,3,2,FALSE
"1338","0196_000902_scrubbed.wav",35025.45,35026.45,2,3,2,3,2,3,3,2,3,3,2,2,2,1,2,3,2,FALSE
"1339","0196_000902_scrubbed.wav",35026.45,35028.49,2,3,3,3,3,3,3,2,3,4,2,2,2,1,2,3,3,FALSE
