"","recording","startSeconds","endSeconds","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","lant_2_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_1_targetChildProminence","modal_prominence","clean"
"195","0437_010603_scrubbed.wav",5431.34,5431.94,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,FALSE
"196","0437_010603_scrubbed.wav",5432.99,5433.76,2,2,2,2,2,2,1,3,2,2,1,2,1,2,2,FALSE
"197","0437_010603_scrubbed.wav",5439.3,5439.9,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,FALSE
"198","0437_010603_scrubbed.wav",5443.58,5444.18,2,2,3,2,2,2,1,3,2,2,1,2,1,2,2,FALSE
"199","0437_010603_scrubbed.wav",5451.24,5452.3,2,2,3,2,3,2,2,2,2,2,2,2,1,2,2,FALSE
"200","0437_010603_scrubbed.wav",5454.55,5455.15,2,2,3,2,2,2,2,3,2,2,2,2,1,2,2,FALSE
"201","0437_010603_scrubbed.wav",5476.75,5477.35,2,2,3,2,2,2,2,2,3,2,2,2,1,2,2,FALSE
"202","0437_010603_scrubbed.wav",5479.95,5481.02,2,2,3,4,4,3,2,2,3,2,2,3,1,2,2,FALSE
"203","0437_010603_scrubbed.wav",5492.74,5494.63,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,FALSE
"204","0437_010603_scrubbed.wav",5502.72,5503.32,2,2,3,2,2,2,2,1,2,2,2,2,1,2,2,FALSE
"205","0437_010603_scrubbed.wav",5505.95,5506.59,2,2,1,1,2,2,1,1,2,2,1,2,1,2,2,FALSE
"206","0437_010603_scrubbed.wav",5508.69,5509.5,3,3,3,3,4,2,3,2,2,2,3,2,1,3,3,FALSE
"207","0437_010603_scrubbed.wav",5510.72,5511.32,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2,FALSE
