"","recording","startSeconds","endSeconds","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_2_targetChildProminence","lant_2_targetChildProminence","lskw_1_targetChildProminence","lyur_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","ztcp_1_targetChildProminence","modal_prominence","clean"
"177","0344_000913.wav",12423.17,12423.77,2,1,2,1,2,2,1,1,3,2,2,1,2,1,2,1,3,FALSE
"178","0344_000913.wav",12490.86,12491.88,2,2,1,2,2,2,2,2,3,2,2,1,1,2,2,2,3,FALSE
"179","0344_000913.wav",12504.25,12505.05,3,3,2,3,3,2,2,2,3,2,2,2,2,2,2,2,2,FALSE
"180","0344_000913.wav",12537.38,12538.08,3,1,2,2,3,2,2,2,3,4,2,2,2,2,2,2,3,FALSE
"181","0344_000913.wav",12538.88,12540.54,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,FALSE
"182","0344_000913.wav",12677.67,12679.55,2,4,2,5,2,2,4,2,3,3,2,2,5,1,5,5,3,FALSE
"183","0344_000913.wav",12837.73,12838.35,2,2,2,4,3,2,3,2,3,4,3,2,1,1,2,3,3,FALSE
"184","0344_000913.wav",12861.07,12861.69,3,2,1,1,2,2,3,2,5,3,2,1,1,1,1,2,3,FALSE
"185","0344_000913.wav",12862.56,12865.33,2,1,1,1,2,2,1,2,4,2,2,1,1,1,2,1,2,FALSE
"186","0344_000913.wav",12890,12890.6,2,1,1,1,1,2,1,2,3,2,2,1,1,1,1,1,2,FALSE
"187","0344_000913.wav",12983.02,12983.68,2,2,2,1,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"188","0344_000913.wav",13246.6,13247.6,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"189","0344_000913.wav",13247.6,13248.37,2,3,1,2,2,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"190","0344_000913.wav",13249.61,13250.21,3,3,2,2,2,2,2,1,3,2,2,2,2,1,2,2,3,FALSE
"191","0344_000913.wav",13261.93,13262.53,2,3,2,1,2,2,3,2,3,2,2,2,2,1,2,2,3,FALSE
"192","0344_000913.wav",13264.58,13265.18,3,2,2,2,2,2,3,2,3,2,2,2,2,1,2,2,3,FALSE
"193","0344_000913.wav",13266.03,13266.85,2,3,2,1,2,2,2,2,3,2,2,1,2,1,2,2,3,FALSE
"194","0344_000913.wav",13321.97,13322.61,2,3,2,2,3,2,2,2,3,2,2,2,2,1,2,2,3,FALSE
"195","0344_000913.wav",13323.61,13324.32,2,3,3,1,3,2,3,2,3,2,2,2,2,1,2,2,3,FALSE
"196","0344_000913.wav",13325.13,13326.06,2,4,3,2,3,2,1,2,3,2,2,2,2,1,2,2,3,FALSE
