"","recording","startSeconds","endSeconds","blky_1_targetChildProminence","cvai_1_targetChildProminence","eoce_1_targetChildProminence","jkwa_1_targetChildProminence","jvfs_1_targetChildProminence","kfav_1_targetChildProminence","lant_2_targetChildProminence","lskw_1_targetChildProminence","mrkf_1_targetChildProminence","pdav_1_targetChildProminence","pwwr_1_targetChildProminence","qoth_2_targetChildProminence","szch_2_targetChildProminence","vgvn_1_targetChildProminence","xgju_1_targetChildProminence","yzxn_2_targetChildProminence","modal_prominence","clean"
"143","0833_010606.wav",1912.36,1912.96,1,1,1,2,1,1,2,2,1,2,2,2,1,2,1,1,1,TRUE
"144","0833_010606.wav",1919.59,1920.32,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,FALSE
"145","0833_010606.wav",1964.74,1965.39,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,FALSE
"146","0833_010606.wav",1967.45,1968.21,3,2,3,2,2,3,2,2,3,2,2,3,2,2,1,2,2,FALSE
"147","0833_010606.wav",1996.92,1997.52,2,2,3,3,2,2,2,2,1,2,2,2,2,3,1,2,2,FALSE
"148","0833_010606.wav",2007.68,2008.28,4,2,5,3,4,2,5,2,5,2,4,5,2,3,1,5,2,FALSE
"149","0833_010606.wav",2012.61,2013.61,4,4,4,3,2,3,4,2,5,2,4,3,4,4,1,5,4,FALSE
"150","0833_010606.wav",2032.05,2032.65,2,2,2,2,2,2,2,2,1,2,3,2,2,3,1,2,2,FALSE
"151","0833_010606.wav",2236.46,2237.06,4,2,2,2,3,3,4,2,5,2,4,2,4,3,1,2,2,FALSE
"152","0833_010606.wav",2256.34,2256.94,1,2,2,2,2,1,2,2,1,2,2,2,1,2,1,1,2,FALSE
"153","0833_010606.wav",2258.7,2259.38,1,2,2,2,2,1,2,2,1,2,2,2,1,1,1,1,1,TRUE
"154","0833_010606.wav",2300.81,2301.41,1,2,2,2,3,3,2,2,1,2,2,2,1,2,1,2,2,FALSE
"155","0833_010606.wav",2319.54,2320.48,1,2,2,3,2,2,2,2,1,2,3,2,1,2,1,2,2,FALSE
"156","0833_010606.wav",2350.78,2351.6,1,2,1,2,1,1,2,2,1,2,3,2,1,1,1,2,1,TRUE
"157","0833_010606.wav",2353.58,2354.18,1,2,1,1,2,1,2,2,1,2,3,2,1,1,1,1,1,TRUE
"158","0833_010606.wav",2380.87,2381.47,2,2,2,2,2,2,2,2,1,2,3,2,1,2,1,2,2,FALSE
"159","0833_010606.wav",2390.64,2391.24,1,2,2,2,2,2,2,2,1,2,3,2,1,2,1,2,2,FALSE
"160","0833_010606.wav",2392.89,2393.49,4,2,1,5,4,5,5,5,1,2,3,2,5,5,1,5,5,FALSE
"161","0833_010606.wav",2463.09,2463.69,1,2,2,2,2,2,2,2,5,3,3,2,2,2,1,2,2,FALSE
"162","0833_010606.wav",2471.23,2472.66,1,2,2,2,2,1,2,2,2,3,2,2,1,2,1,1,2,FALSE
"163","0833_010606.wav",2475.49,2476.09,4,4,5,5,5,5,5,5,5,4,5,5,5,5,1,5,3,FALSE
"164","0833_010606.wav",2485.04,2485.64,4,4,1,5,4,3,5,5,5,3,5,5,5,5,5,2,5,FALSE
"165","0833_010606.wav",2489.39,2490.17,1,2,1,2,2,2,2,2,1,2,2,2,1,2,5,2,2,FALSE
"166","0833_010606.wav",2494.16,2494.79,1,3,3,4,2,3,3,2,2,2,4,2,2,3,1,3,2,FALSE
"167","0833_010606.wav",2497.1,2497.7,1,2,2,2,2,2,2,2,1,2,2,2,2,3,1,2,2,FALSE
"168","0833_010606.wav",2502.57,2503.23,1,3,2,2,3,2,2,2,3,2,2,2,1,3,1,2,2,FALSE
"169","0833_010606.wav",2533.6,2534.25,4,4,4,4,4,3,3,2,3,2,2,4,2,2,1,2,2,FALSE
"170","0833_010606.wav",2542.4,2543.5,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,2,FALSE
"171","0833_010606.wav",2545.25,2545.85,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,2,FALSE
"172","0833_010606.wav",2548.27,2549.08,2,2,1,3,2,3,2,2,1,2,3,2,2,2,1,2,2,FALSE
"173","0833_010606.wav",2575.5,2576.15,2,2,2,2,1,2,2,2,1,2,2,2,1,2,1,1,2,FALSE
"174","0833_010606.wav",2577.42,2578.42,2,2,2,2,3,2,3,2,1,2,2,2,2,2,1,2,2,FALSE
"175","0833_010606.wav",2580.51,2581.33,1,2,1,1,2,1,2,2,1,2,2,2,1,2,1,1,1,TRUE
"176","0833_010606.wav",2584.5,2585.39,1,2,1,1,2,2,2,2,1,2,2,2,1,2,1,1,1,TRUE
"177","0833_010606.wav",2593.38,2593.98,2,2,2,2,2,3,3,2,3,2,2,2,2,2,1,2,2,FALSE
"178","0833_010606.wav",2610.58,2611.64,1,2,2,1,1,2,2,2,1,2,2,1,1,1,1,1,1,TRUE
"179","0833_010606.wav",2614.24,2615.39,1,2,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,TRUE
"180","0833_010606.wav",2620.69,2621.29,4,2,2,2,4,3,4,2,2,2,2,2,2,2,1,2,2,FALSE
